title	json_data	author	summary	ingredients	instructions
﻿style Guide	{"name": "\ufeffstyle Guide"}	Using three @ signs to separate each recipe. I’ll find and replace them with something more permanent later		[]	[]
Recipe Title	{"name": "Recipe Title"}	Authors	<p>If the ingredients are in two or more subsections, list them like so (Tab + ⌘ + Shift + 7)</p><p>The ingredients in the book are listed in two columns. Try to format these so that the ingredients in the first column are listed first and then list the ingredients from the second column.</p><p>If the Steps are in two or more subsections, list them like so (Tab + ⌘ + Shift + 8)</p><p>Any chunks of text containing additional recipe details can be left in the same position as they are originally, just try to remove newline characters if you see them.</p><p>Phase 2 Style Guide -</p><p>Add a fourth @ before the recipe title when you have applied the formatting</p><p>Making ingredients parsable</p><p>Amount</p><p># if there is a comma present, split line on “,” and only look at first (zero-ith) substring, else use whole line</p><p>If there is a unit (parentheses are present), just grab the substring before the ( and use the strip method to remove whitespace on the ends (this will allow for situations where the amount is not a number - Ex: Few (drops) hot sauce</p><p>Empty string if none found</p><p>Whole values: 1 (cup)</p><p>Compound Fractions: 1 ½ (cups)</p><p>Fractions: ½ (cup)</p><p>Not present: salt and pepper</p><p>Unit</p><p>## NOTE: if comma present in line, split line on “,” and only look at first (zero-ith) substring (because additional recipe details may have parentheses)</p><p>Surrounded by parentheses: 1 (cup)</p><p>Units that are different when Amount is <= 1</p><p>(most other units)</p><p>Ingredient Name</p><p>In this case, the person uploading the recipe will need to manually update the value</p><p>Extra Details</p><p>Rewrite extra details to be after the ingredient name. Can have additional commas/parentheses, but omit them if they aren’t adding value</p><p>Find first comma, if not found, return empty string. else , return second half of line</p><p>Corner cases to just use your best judgement on</p><p>When the recipe has suggests two different ingredients, the second could be recorded as a note or beside the original. The difference in the end is that the note is a lighter gray https://demo.wprecipemaker.com/chic-recipe-template/</p><p>But these cases of alternative ingredients are messy in other recipes, so don’t over think it too much. All in all, we want the info visible clearly on the page, even if it doesn’t properly conform to the variable names that are holding the details.</p><p>Let me know if there’s a more preferred way</p>	[{'name': 'If The Ingredients Are Listed All In One Chunk, List Them Like So (⌘ + Shift + 8)', 'type': 'group'}, {'amount': '', 'unit': '', 'name': 'Ingredient 1', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Ingredient 2', 'notes': '', 'type': 'ingredient'}, {'name': 'Dough', 'type': 'group'}, {'amount': '', 'unit': '', 'name': 'Ingredient 1', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Ingredient 2', 'notes': '', 'type': 'ingredient'}, {'name': 'Filling', 'type': 'group'}, {'amount': '', 'unit': '', 'name': 'Ingredient 1', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Ingredient 2', 'notes': '', 'type': 'ingredient'}, {'name': 'Goals', 'type': 'group'}, {'amount': '', 'unit': '', 'name': 'Make recipe ingredient values parseable', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Re-read the recipe steps to catch spelling/formatting errors', 'notes': '', 'type': 'ingredient'}, {'name': 'Want The Ingredients In This Format:', 'type': 'group'}, {'amount': '', 'unit': '', 'name': 'Amount (unit) item name', 'notes': 'extra details', 'type': 'ingredient'}, {'name': 'Ex.', 'type': 'group'}, {'amount': '2', 'unit': 'tbsp', 'name': 'olive oil', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': '½ (cups) onion', 'notes': 'chopped', 'type': 'ingredient'}, {'amount': '1', 'unit': 'tbsp', 'name': 'fresh garlic', 'notes': 'minced', 'type': 'ingredient'}, {'amount': '3', 'unit': '6-inch', 'name': 'corn tortillas', 'notes': 'cut into 1-inch pieces', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'heavy cream', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': '10 ½ oz can', 'name': 'Ro-Tel tomatoes', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'salt and pepper', 'notes': '', 'type': 'ingredient'}, {'name': 'Else: Use Regex To Read The The Numbers/ Unicode Fractions At The Front Of The Line', 'type': 'group'}, {'amount': '', 'unit': '', 'name': 'Regex expression for these fractions https://regexr.com/3p8nd', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Regex search method https://docs.python.org/3/library/re.html#re.search', 'notes': '', 'type': 'ingredient'}, {'name': 'Ideally Listed So That It Doesn’t Have Any Commas. This Will Not Be Possible In All Cases, Such As', 'type': 'group'}, {'amount': '1', 'unit': '', 'name': 'red', 'notes': 'yellow, and green apple, cut into wedges', 'type': 'ingredient'}, {'name': 'Common Cases:', 'type': 'group'}, {'amount': '4', 'unit': 'cups', 'name': 'water', 'notes': 'boiling', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'cheese', 'notes': 'shredded', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'lemon juice', 'notes': '4-6 lemons', 'type': 'ingredient'}, {'name': 'Original', 'type': 'group'}, {'amount': '1', 'unit': 'large package', 'name': '.or 3 small packages chicken flavor Rice-a-Roni', 'notes': '', 'type': 'ingredient'}, {'amount': '3', 'unit': 'lb', 'name': 'sweet potatoes (cooked) or 2 (17 oz cans) (drained)', 'notes': '', 'type': 'ingredient'}, {'name': 'New', 'type': 'group'}, {'amount': '1', 'unit': 'large package', 'name': '.chicken flavor Rice-a-Roni', 'notes': 'or 3 small packages', 'type': 'ingredient'}, {'amount': '3', 'unit': 'lb', 'name': 'sweet potatoes', 'notes': 'cooked or 2 (17 oz cans) drained', 'type': 'ingredient'}, {'name': 'I Think The First Would Be More Clear Than The Second', 'type': 'group'}, {'amount': '1', 'unit': 'stick', 'name': 'butter or oleo', 'notes': 'melted', 'type': 'ingredient'}, {'amount': '1', 'unit': 'stick', 'name': 'butter', 'notes': 'or oleo, melted', 'type': 'ingredient'}, {'amount': '1', 'unit': 'large bottle/can', 'name': 'pineapple juice', 'notes': 'or 1 can concentrate (mixed according to directions)', 'type': 'ingredient'}, {'name': '### Shane: What’s The Best Way To Represent Little Chef’s Notes On The Ingredients? E.g:', 'type': 'group'}, {'amount': '1', 'unit': '8 oz package', 'name': 'cream cheese (I use ⅓ less fat', 'notes': 'don’t use fat free)', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Bacon (I  use the pre-cooked)', 'notes': '', 'type': 'ingredient'}, {'name': 'I’ve Been Adding Commas To Separate Them Like So:', 'type': 'group'}, {'amount': '1', 'unit': '8 oz package', 'name': 'cream cheese', 'notes': '(I use ⅓ less fat, don’t use fat free)', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Bacon', 'notes': '(I  use the pre-cooked)', 'type': 'ingredient'}]	[{'name': 'For The Recipe Steps, Format As A Numbered List (⌘ + Shift + 7)', 'type': 'group'}, {'text': '<p>In the original cookbook, there weren’t numbers for the steps. Instead, all steps were listed in a single paragraph.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Ideally, when you format the recipe, split the sentences out into collections of steps. If nothing else, remove any unnecessary newlines, and have the steps listed all in the number one</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Dough', 'type': 'group'}, {'text': '<p>Step 1</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Step 2</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Filling', 'type': 'group'}, {'text': '<p>Step 1</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Step 2</p>', 'type': 'instruction', 'image_url': ''}, {'name': 'Units That Are Same Whether Amount Is <= 1', 'type': 'group'}, {'text': '<p>(tsp) vs 2 (tsp)</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>(tbsp) vs 2 (tbsp)</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>(lb) vs 2 (lb)</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>(oz) vs 2 (oz)</p>', 'type': 'instruction', 'image_url': ''}, {'name': '½ (cup) Vs 1 (cup) Vs 1 ½ (cups)', 'type': 'group'}, {'text': '<p>(pint) vs 2 (pints)</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>(quart) vs 2 (quarts)</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>can vs 2 cans</p>', 'type': 'instruction', 'image_url': ''}]
Perfect Lemonade	{"name": "Perfect Lemonade"}	Angie Brunkhorst		[{'amount': '1', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'lemon juice', 'notes': '4-6 lemons', 'type': 'ingredient'}]	[{'text': '<p>In a small saucepan, heat the sugar and water until the sugar is dissolved completely. Cool slightly.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Pour into a pitcher. Add the lemon juice. Add about 4 cups of water, more or less to the desired strength. Refrigerate 30-40 minutes. Serve over ice.</p>', 'type': 'instruction', 'image_url': ''}]
Easy Punch	{"name": "Easy Punch"}	Karalynn and Kris Brunkhorst		[{'amount': '1', 'unit': 'large can', 'name': 'red Hawaiian Punch or 1 can concentrate', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'liter', 'name': 'ginger ale or 7-Up', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Ice ring', 'notes': 'made with Hawaiian Punch (optional)', 'type': 'ingredient'}, {'amount': '1', 'unit': 'large bottle/can', 'name': 'pineapple juice', 'notes': 'or 1 can concentrate (mixed according to directions)', 'type': 'ingredient'}]	[{'text': '<p>Mix all ingredients, adding pop just before serving. Serves 35 cups. Add more or less of ingredients to suit your tastes.</p>', 'type': 'instruction', 'image_url': ''}]
Punch	{"name": "Punch"}	Ann and Phil Brunkhorst		[{'amount': '2', 'unit': 'large packages', 'name': 'cherry Jello', 'notes': '', 'type': 'ingredient'}, {'amount': '4', 'unit': 'cups', 'name': 'water', 'notes': 'boiling', 'type': 'ingredient'}, {'amount': '4', 'unit': 'cups', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '9', 'unit': 'cups', 'name': 'cold water', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'cups', 'name': 'lemon juice', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': '46 oz cans', 'name': 'pineapple juice', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'oz', 'name': 'almond extract', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'large bottles', 'name': 'ginger ale', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Dissolve Jello in water. Add the remaining ingredients, except for ginger ale. Freeze. (I use 2 ice cream buckets).</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Take out of the freezer approximately 5 hours before serving. Add ginger ale. Also very good made with apricot, raspberry or a mixture of red Jellos.</p>', 'type': 'instruction', 'image_url': ''}]
Hot Chocolate	{"name": "Hot Chocolate"}	Mary Jo McFadden	<p>This Hot Chocolate Recipe was prepared and served by Mary Jo McFadden when she entertained the Brunkhorst/McFadden families at Christmas. This recipe was submitted by several family members with notes attached how each would look forward to this awesome treat each year! (Note: Mary Jo is known for always typing instead of writing. She was also noted for calling her children and siblings in the morning to wish them a "good day!" Mary Jo is sadly missed by all who knew her.)</p>	[{'amount': '1', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'cocoa', 'notes': '', 'type': 'ingredient'}, {'amount': '1', 'unit': 'cup', 'name': 'water', 'notes': 'boiling', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'qt. heavy cream', 'notes': '', 'type': 'ingredient'}, {'amount': '4', 'unit': 'quart', 'name': 'milk', 'notes': 'scalding hot', 'type': 'ingredient'}]	[{'text': '<p>Mix sugar and cocoa, stir to a smooth paste with the boiling water. Heat over the direct flame and then cook in a double boiler for about 30 minutes, or until a thick paste is formed. Chill.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Whip cream. Fold in cocoa paste, scald milk in double boiler or pan, add vanilla and salt. When serving hot chocolate, put chocolate mixture in a bowl and hot milk in a pitcher. Put a large spoonful of chocolate mixture in cup: add hot milk. Be sure milk is scalding hot; otherwise beverage will be lukewarm because of the cold paste that is added. I put sugar with my whipping cream when I whip it and some vanilla too.</p>', 'type': 'instruction', 'image_url': ''}]
Dandelion Wine	{"name": "Dandelion Wine"}	Ann Fabric	<p>This recipe was a  recipe of Grandma Anna Brunkhorst, submitted by granddaughter, Ann Fabric, daughter of Della Wintakger.Note received by Vivian Shane, daughter of Della and sister to Ann: I used to stay during high school years with Grandma Brunkhorst in her home in Lamont, Iowa. This was only on nights when I had special practice. At our evening meal, Grandma served me a small glass of her homemade dandelion wine. Since I was a teenager and had not drank wine I was very frustrated as to whether I should drink it or not. Finally, I rationalized Anna was my mother's mother so she wouldn't serve me anything I shouldn't have. I drank the wine!</p>	[{'amount': '4', 'unit': 'gallons', 'name': 'dandelion flowers', 'notes': '', 'type': 'ingredient'}, {'amount': '4', 'unit': 'gallons', 'name': 'water', 'notes': 'boiling', 'type': 'ingredient'}, {'amount': '4', 'unit': 'lb', 'name': 'honey', 'notes': '', 'type': 'ingredient'}, {'amount': '4', 'unit': '', 'name': 'lemons', 'notes': 'sliced', 'type': 'ingredient'}, {'amount': '4', 'unit': '', 'name': 'oranges', 'notes': 'sliced', 'type': 'ingredient'}, {'amount': '12', 'unit': '', 'name': 'whole cloves', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'tbsp', 'name': 'yeast', 'notes': '2 packages', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'water', 'notes': 'warm', 'type': 'ingredient'}]	[{'text': '<p>Remove any stems from the flowers. Put the flowers in a large, warm crock and pour the boiling water over them. Let stand for a week.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Strain, squeezing all the juice out of the flowers; then discard. Add the slices of lemon, orange, and the cloves; stir well. Add the yeast which has been softened in the warm water. Let stand, covered for another 2 weeks.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Strain again and pour into wine bottles. Let the bottles stand uncorked for 5 days. Cork or cap bottles. Let wine develop for at least 2 months.</p>', 'type': 'instruction', 'image_url': ''}]
Coffee Soup	{"name": "Coffee Soup"}	Patricia Brunkhorst Maas	<p>This recipe was submitted by Patricia Brunkhorst Maas in memory of her dad, Joe Brunkhorst, who had this coffee every day.</p>	[{'amount': '½', 'unit': 'cup', 'name': 'coffee', 'notes': 'brewed', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'milk', 'notes': '', 'type': 'ingredient'}, {'amount': '', 'unit': '', 'name': 'Bread', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Combine brewed coffee and milk; add bread and eat.</p>', 'type': 'instruction', 'image_url': ''}]
Red Striped Juice	{"name": "Red Striped Juice"}	Donna Brunkhorst Litman		[{'amount': '½', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'water', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'orange juice', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'Grand Marnier', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'bottles', 'name': 'fruity red wine (Merlot or Shiraz)', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': 'oranges', 'notes': 'sliced thin', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': 'lemons', 'notes': 'sliced thin', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': 'apples', 'notes': 'cubed small', 'type': 'ingredient'}]	[{'text': '<p>Heat sugar and water in a saucepan, stirring until sugar melts. Cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Mix simple syrup, Grand Marnier, red wine and fruit. Chill overnight.</p>', 'type': 'instruction', 'image_url': ''}]
White Striped Juice	{"name": "White Striped Juice"}	Donna Brunkhorst Litman		[{'amount': '½', 'unit': 'cup', 'name': 'sugar', 'notes': '', 'type': 'ingredient'}, {'amount': '¾', 'unit': 'cup', 'name': 'water', 'notes': '', 'type': 'ingredient'}, {'amount': '½', 'unit': 'cup', 'name': 'Peach Schnapps', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': 'bottles', 'name': 'white wine (not Chardonnay)', 'notes': '', 'type': 'ingredient'}, {'amount': '2', 'unit': '', 'name': 'oranges', 'notes': 'sliced thin', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'lemon', 'notes': 'sliced thin', 'type': 'ingredient'}, {'amount': '1', 'unit': '', 'name': 'apple', 'notes': 'cubed small', 'type': 'ingredient'}, {'amount': '1', 'unit': 'bottle', 'name': 'champagne', 'notes': '', 'type': 'ingredient'}]	[{'text': '<p>Heat sugar and water in a saucepan, stirring until sugar melts. Cool.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>Mix simple syrup, Schnapps, wine, and fruit. Chill overnight.</p>', 'type': 'instruction', 'image_url': ''}, {'text': '<p>To serve: Fill glass halfway with wine over ice. Add fruit and top with champagne.</p>', 'type': 'instruction', 'image_url': ''}]
